id,name,industry,description,website
101,Peach Corporation,Consumer Appliances,Maker of iconic smart kettles—customers queue for the annual flagship release and happily replace last year's model.,https://peach.example
102,Beta,Enterprise Software,A fast-moving enterprise software house known for shipping "beta" features to power users first then scaling to the mainstream.,https://beta.example
103,Faraday Company,Aerospace & Mobility,"Building self-flying planes for everyone—autonomous navigation, safety-first avionics, and subscription-based ownership.",https://faraday.example
104,Silver Wealth,Wealth Technology,"Wealth-first fintech providing modern advisory tools, client portals, and community-driven investing experiences.",https://huepic.example
105,Nimbus Works,Cloud Infrastructure,Operates a global edge cloud and helps enterprises migrate latency-sensitive workloads with predictable pricing.,https://nimbusworks.example
106,CopperLeaf Logistics,Supply Chain,A next-gen logistics network optimizing last-mile delivery with real-time routing and carbon-aware dispatching.,https://copperleaflogistics.example
107,Quantum Health,Healthcare Technology,"Revolutionizing healthcare with AI-driven diagnostics, personalized treatment plans, and seamless patient management systems.",https://quantumhealth.example
108,Vertex Dynamics,Renewable Energy,"Pioneering advanced renewable energy solutions, including high-efficiency solar panels and smart grid technologies.",https://vertexdynamics.example
109,Luna Entertainment,Media & Entertainment,"A cutting-edge media company producing immersive VR content and interactive storytelling experiences for global audiences.",https://lunaentertainment.example
110,Atlas Robotics,Industrial Automation,"Leading the way in industrial automation with AI-powered robots designed for manufacturing, logistics, and hazardous environments.",https://atlasrobotics.example